,Timestamp,Anon,"On a scale from 1 to 10, how do you estimate your programming experience? ","On a scale from 1 to 10, how do you estimate your programming experience compared to your class mates?","On a scale from 1 to 5, how experienced are you with the following programming paradigm: object-oriented?","Rounded to the closest integer, for how many years have you been programming?",What kind of computing device did you use to complete this study? ,Do you have experience in professional software development?,Do you have experience with code refactoring in a professional environment?,Do you have experience with code reviews in a professional environment?,Do you have professional experience providing reviews on others' code through GitHub?,Do you have professional experience receiving feedback from others on your code through GitHub?,"For how many tasks, approximately, did you consult the following resources? [Google search]","For how many tasks, approximately, did you consult the following resources? [Q&A forums (e.g., StackOverflow)]","For how many tasks, approximately, did you consult the following resources? [Generative AI (e.g. ChatGPT)]","For how many tasks, approximately, did you consult the following resources? [Official documentation for APIs]","For how many tasks, approximately, did you consult the following resources? [IDEs (or similar)]",What was difficult about performing the code review in this study?,What was easy about performing the code review in this study?,What would have helped you perform the code review in this study more effectively?,What type of student are you?,What is your major?,"What is/are your minor(s), if any? ",What is your gender identity? (select all that apply)
81,4/22/2024 15:33:39,ncsu122,5,5,4,3,Laptop,"Yes, as an internship or co-op",Yes,Yes,No,No,about half,none,about half,none,none,I second guess myself a lot before submitting a review because I don't want to be wrong.,The GitHub interface is intuitive.,Integrated IDE so I could like right click on functions to go directly to them.,Full-time,Computer Science,,"Male, Female"
82,4/22/2024 15:35:37,ncsu40,8,8,4,3,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,a few,a few,none,Some of the changes were a bit confusing as I didn't take a look through the entire codebase and I didn't know how it all worked.,The instructions and the readme made it extremely easy to understand how to work on this task.,Being given some more time before time to look through the codebase to get a better understanding of the code.,Full-time,Computer Science,Math,Male
83,4/22/2024 15:35:37,ncsu39,8,9,4,5,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,none,none,all,Not having the full context of the code,Some changes were pretty obvious,unit tests or github actions,Full-time,Computer Science,Cybersecurity Concentration,Female
84,4/22/2024 15:36:33,ncsu89,5,5,3,2,Laptop,No,No,No,No,No,a few,a few,a few,about half,about half,Limited time and not able to concentrate well. Seconding doubting myself. ,Some of the files were relatively easy to understand ,More time and have knowledge before class of what we need to do ,Full-time,CS,"Psychology, History",Prefer not to disclose
85,4/22/2024 15:37:23,ncsu43,5,5,4,3,Laptop,No,No,No,No,Yes,none,none,a few,none,none,To understand what the code snippet was doing,"It was easy to review if something was changed a lot, for example new variable was added",Using other resources more,Part-time,Computer Science,,Male
86,4/22/2024 15:38:12,ncsu58,6,8,4,3,Laptop,No,No,No,No,No,none,none,none,none,none,understanding what the code was supposed to do ,understanding what the changes made would impact the code. ,having effective method names and description of changes and etc for each PR,Full-time,computer science,,Female
87,4/22/2024 15:38:29,ncsu75,7,9,5,7,Laptop,"Yes, as an internship or co-op, Yes, I contribute to open-source software, Yes, self-employed",Yes,Yes,Yes,Yes,none,none,a few,none,none,Some of the code was convoluted and hard to understand what was going on.,Some of the code changes were very apparent what they were doing and/or attempting to do.,Code comments,Full-time,Computer Science (BS),,Male
88,4/22/2024 15:39:22,ncsu17,7,6,4,4,Laptop,"Yes, as an internship or co-op, Yes, I contribute to open-source software, Yes, self-employed",Yes,Yes,Yes,Yes,none,none,a few,none,none,Some were somewhat lengthy while others were very short and simple to trace,Issues with less lines of code to analyze ,More comments on the code,Full-time,Computer Science,Philosophy,Male
89,4/22/2024 15:39:27,ncsu80,7,6,4,8,Laptop,No,No,No,No,No,none,none,a few,none,none,Trying to read it was the most difficult part,I think the easiest part was when only a couple lines changed. Then I didn't have to worry about certain lines changing stuff further down.,Maybe a slightly better instructions.,Full-time,Computer Science,,Male
90,4/22/2024 15:39:35,ncsu1,8,8,4,5,Laptop,No,No,No,Yes,No,none,none,a few,none,none,Tracing through lines of code and results in my head,Tools on github were easy to use and understand after taking 326,I think we were given all necessary resources to complete the study effectively.,Full-time,Computer Science,Mathemtaics,Male
91,4/22/2024 15:40:45,ncsu101,6,5,4,4,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,none,none,none,"For larger files with more changes, it was harder to keep up with how exactly changes in some segments led to potential changes in orders.","For the smaller files that were more math based, it was easy to analyze.",Probably having my IDE open.,Full-time,Computer Science,Economics,Female
92,4/22/2024 15:41:10,ncsu94,7,5,4,3,Laptop,No,No,No,No,No,none,none,none,none,none,The requirements or the exact expectations of the code was not given so it was a bit hard to figure that out while evaluating the changes in the code. ,The files contained a few changes on very specific lines as a result of which it was easy to consider the outcomes of the changes.,Having the requirements or the exact expectations of the code or the snippet of the code.,Full-time,Computer Science,Business Administration,Female
93,4/22/2024 15:41:17,ncsu63,8,8,4,8,Laptop,No,No,No,No,No,none,none,none,none,none,The code was poorly written.,The splitting of the files on github made it easier to compare changes,If the code had better formatting.,Full-time,Computer Science and Physics,Mathematics,Male
94,4/22/2024 15:41:42,ncsu60,7,4,4,5,Laptop,No,No,No,No,No,none,none,about half,none,none,Trying to code trace backwards to see if any behavior had changed. ,Github process with closing and adding comments. ,Knowing the intended purpose of the code before hand with comments maybe. But outside resources helped.,Full-time,Computer Science,Business Administration,Male
95,4/22/2024 15:42:46,ncsu16,7,8,4,6,Laptop,No,No,No,No,No,none,none,a few,none,a few,Sometimes the code is hard to parse and is messy,Sometimes the code is very simple and mathematical.,I would have appreciate more comments explaining why the changes were made so I could understand more.,Full-time,Computer Science & Mathematics,Music Studies,Male
96,4/22/2024 15:43:02,ncsu115,9,7,5,3,Laptop,"Yes, as an internship or co-op",Yes,Yes,Yes,Yes,none,none,a few,none,none,Trying to understand follow the code and figure out what it was meant to do in the first place. ,All the pull requests and everything was setup already beforehand and was a easy process to follow along. ,,Full-time,Computer Science,Math,Male
97,4/22/2024 15:44:07,ncsu73,6,8,5,6,Laptop,No,No,No,No,No,none,none,none,none,a few,The variable names were not descriptive enough and the code as a whole was not informative as to what it was supposed to do.,The code was in a syntax that I could understand (Java).,Better comments and variable naming.,Full-time,Computer Science,,Male
98,4/22/2024 15:44:10,ncsu103,9,9,5,4,Laptop,"Yes, self-employed",No,No,No,No,about half,none,a few,none,none,"Not all changes were obvious, I had to go look at the entire file",Some changes were obvious,Comments about the change,Full-time,Computer Science,,Male
99,4/22/2024 15:44:47,ncsu9,7,5,4,6,Laptop,No,No,No,No,No,none,none,none,none,none,It was difficult to understand the meaning of the changes in context.,It was easy to see what the syntax changes between the original and the new code.,Knowing more about the program these changes would be implemented in would have helped.,Full-time,Computer Science,,Male
100,4/22/2024 15:45:33,ncsu30,5,4,3,3,Laptop,"Yes, as an internship or co-op",No,No,No,Yes,none,none,a few,none,none,reviewing The code where the first code is too cluttered and hard to understand,the GitHub features that highlight the changes made,having the requirement and test cases,Full-time,Computer Science,,Female
101,4/22/2024 15:45:51,ncsu116,7,4,4,4,Laptop,No,No,No,Yes,Yes,none,none,a few,none,none,Figuring out if the behavior changes were actually happening,It was easy to follow and easy to understand ,Nothing I thought the experience went smoothly,Full-time,Computer Science ,None ,Male
102,4/22/2024 15:46:07,ncsu34,8,7,4,3,Laptop,No,No,No,No,No,none,none,a few,none,none,It was a bit difficult being able to understand how to differentiate between when the overall behavior of the code changed or if there were just minor changes but the functionality of the code was the same.,It was easy to find the distinctive differences in code as we could compare the files on github and for some of the pull requests the behavior changes were clear.,I think a better understanding of the code/project being worked on or a general understanding of the project would also give us a better understanding of each of the behaviors of the files we are analyzing.,Full-time,Computer Science,,Female
103,4/22/2024 15:47:19,ncsu109,8,10,5,9,Laptop,"Yes, as an internship or co-op",Yes,Yes,No,No,none,none,none,none,a few,Having to mentally compile the code to evaluate the result was probably the most difficult part.,"The fact that only 1 file needed to be reviewed for each PR was probably the easiest part. If there were more files, it would probably be more overwhelming","I think if I had more context on how the code would be used, I could maybe review the code more effectively.",Full-time,Computer Science,Statistics,Prefer not to disclose
104,4/22/2024 15:47:54,ncsu68,8,8,5,8,Tablet,"Yes, as an internship or co-op",No,Yes,Yes,Yes,none,none,none,all,none,Some of the refactors were very dense and seemingly pointless,Some of the refactors were simple and led to easy to find behavioral bugs ,Maybe if I had used an IDE,Full-time,CS,Japanese,Male
105,4/22/2024 15:49:12,ncsu106,3,4,4,5,Laptop,No,No,No,No,No,a few,none,none,about half,about half,Calculating the possible outcomes based on the changes. ,There was one change that was simply an added tab. I found that easy to spot.,I am not sure. ,Full-time,CS,none,Prefer not to disclose
106,4/22/2024 15:50:19,ncsu70,7,7,4,3,Laptop,"Yes, as an internship or co-op",No,Yes,No,Yes,none,none,none,none,none,"I did not know the context behind the program, which makes it very difficult to determine whether the behavior of the code is changed or not, since it may expect different results.",It was easy to see what changes were made and understand what these changes did.,Knowing context behind the code.,Full-time,Computer Science,,Male
107,4/22/2024 15:50:30,ncsu20,10,10,5,4,Laptop,"Yes, as an internship or co-op",Yes,No,Yes,No,about half,about half,about half,about half,about half,Not much,Helpful,It was perfect ,Full-time,Csc,Na,Male
108,4/22/2024 15:50:33,ncsu2,7,5,4,3,Laptop,No,No,No,No,No,none,none,most,none,a few,Many changes in one file are hard to verify for every output.,"Some examples provide obvious evidence of inequality in code output, such as differing comparison checks.","Because most of the functions took integers as an input, a simple test with a range positive to negative input values would make this error checking a lot easier.",Full-time,Computer Science,,Male
109,4/22/2024 15:51:42,ncsu33,6,5,4,5,Laptop,No,No,No,Yes,Yes,none,none,most,none,none,reading through some of the more complex code was difficult. I also was not able to run any of the code which made it more difficult,when the changes were very apparent they popped out immediately,Being able to run the code.,Full-time,Computer Science,"Mathematics, Spanish",Male
110,4/22/2024 15:51:47,ncsu96,7,6,4,5,Laptop,"Yes, as an internship or co-op",No,No,Yes,Yes,none,none,about half,none,none,Understanding the context of the code and big variables used in some files.,Some code changes were pretty small and it was easy to figure out what was going (like basic if branch comparisons).,If I was familiar with the code base beforehand it would have helped my code review,Full-time,Computer Science,Cognitive Science,Male
111,4/22/2024 15:52:23,ncsu10,5,3,4,4,Laptop,No,No,Yes,No,Yes,none,none,all,none,none,I did not really understand what was being done. ,Majority of it seemed correct ,Easier code.,Full-time,Computer Science ,Business Management. ,Male
112,4/22/2024 15:52:31,ncsu118,10,10,5,5,Laptop,No,Yes,Yes,Yes,Yes,a few,a few,a few,a few,a few,I didnt find any issues for this study,yes it was easy,probably someone reviewing it with me  ,Full-time,Computer Science,,Male
113,4/22/2024 15:54:43,ncsu88,9,9,5,9,Laptop,No,No,No,No,No,a few,none,none,none,none,Tracing/evaluating convoluted paths and expressions to see if a bizarre change somehow didn't change the return value,Identifying potential behavior changes,"Actually running tests on the code in an IDE for the more convoluted methods, like TCAS, so that I could test inputs without doing a lot of error-prone human math",Full-time,Computer Science,,Male
114,4/22/2024 15:56:47,ncsu65,6,6,4,3,Laptop,No,No,No,Yes,Yes,none,none,a few,none,none,Not being able to see the entire code made it a little harder to gauge the purpose of the code.,"The split tab made it easier to review the code in this study as it was easier to see how the code differs in a side by side manner. Moreover, highlighting the lines that have been changed helped understand the changes that might affect the external behvaior of the program. ",I believe that removing the time constraint would have helped relieve the pressure and concentrate more on the code. ,Full-time,Computer Science,Environmental Science,Female
115,4/22/2024 15:57:16,ncsu6,5,5,4,3,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,none,none,none,Sometimes I was overthinking which made the question more complicated. ,The GitHub helped in looking at the differences. ,I feel that it was good and no improvements needed,Full-time,Computer Science,Economics,Female
116,4/22/2024 15:58:57,ncsu69,10,10,4,6,Laptop,"Yes, I contribute to open-source software, Yes, self-employed",Yes,Yes,Yes,Yes,a few,none,none,most,a few,Nothing as such was difficult ,Yes it was pretty easy,Understanding the context of the code before,Full-time,Computer Science,No minors,Male
117,4/22/2024 15:59:18,ncsu52,7,6,4,4,Laptop,"Yes, as an internship or co-op",Yes,No,No,No,none,none,about half,none,none,I think it was moderately difficult.,There were a few that were 1 or 2 line code changes.,"I think if I had ran it in the IDE, it would have been easier.",Full-time,Computer Science,Math,Male
118,4/22/2024 16:00:42,ncsu5,6,6,3,3,Laptop,No,No,No,No,No,about half,a few,most,none,none,tracing through the changes and evaluate if the changes affect the code's behavior,identify the changes that were made,performing code review with other colleagues,Full-time,computer science,,Male
119,4/22/2024 16:01:58,ncsu15,4,7,4,9,Laptop,"Yes, as an internship or co-op",No,Yes,Yes,No,none,none,none,none,all,"Nothing, really - it was fairly easy.",GitHub's diff view is very useful and makes it super easy to find small differences - which is what this was all about - very quickly.,"There's not much to it - these changes were small, and GitHub's diff view took care of all the visual parts, which left the easy logic as the only task I had to do. Maybe if Generative AI was confirmed to be helpful guaranteed so I could automate it there? That would likely take long though, as would writing any scripts to automatically test it.",Full-time,"Computer Science, B.S.",,Prefer not to disclose
120,4/22/2024 16:07:47,ncsu79,5,3,4,2,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,about half,none,none,understanding what qualified as changing the behavior of the code,the code was short,give an example of what changes you should be allowed to merge and what ones you should request chagnes for ,Full-time,computer science,business,Female
121,4/22/2024 16:08:38,ncsu121,7,7,4,5,Laptop,No,No,No,No,No,a few,none,about half,a few,none,Figuring out how changes to math formulas and recursion affects the function. ,Some of the code changes were obvious in how they would affect the function. ,Leveraging generative AI more effectively would help me perform code review more thoroughly. ,Full-time,"Computer Science, Statistics",,Male
122,4/22/2024 16:09:22,ncsu67,8,7,4,7,Laptop,No,No,No,No,No,a few,none,none,none,none,Code tracing was the most difficult portion. Longer control flows took more time and required maintaining a lot of program state.,Some of the tasks were familiar and could quickly be reviewed.,"If I had someone to collaborate with, the code review could have gone more smoothly. We could improve the odds that both of us have the correct understanding of the code.",Full-time,Computer Science,,Male
123,4/22/2024 16:09:24,ncsu14,7,5,4,5,Laptop,"Yes, as an internship or co-op",No,Yes,No,No,most,most,a few,most,most,"Nothing much, it was organized",It was easy to follow the instructions and i knew what had to be done,More time for more detailed analysis,Full-time,Computer Science,Mathematics,Female
124,4/22/2024 16:14:50,ncsu3,9,10,5,6,Laptop,No,No,No,No,No,all,all,most,a few,a few,nothing.,identifying the difference in different inputs.,more comment on why those changes were made.,Full-time,computer science,business entreprenuership,Male
